song,artist,lyric
Lean On,Major Lazer and DJ Snake featuring MØ,"Do you recall, not long ago
We would walk on the sidewalk
Innocent, remember?
All we did was care for each other

But the night was warm
We were bold and young
All around the wind blows
We would only hold on to let go

[Chorus 2x:]
Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on

(Eeh ooh, eeh ooh, eeh ooh, eeh ooh) [4x]

What will we do when we get old?
Will we walk down the same road?
Will you be there by my side?
Standing strong as the waves roll over

When the nights are long
Longing for you to come home
All around the wind blows
We would only hold on to let go

[Chorus 2x:]
Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on

(Eeh ooh, eeh ooh, eeh ooh, eeh ooh) [2x]
All we need is somebody to lean on
(Eeh ooh, eeh ooh, eeh ooh, eeh ooh) [2x]
All we need is somebody to lean on
Lean on, lean on, lean on, lean on...

[Chorus 2x:]
Blow a kiss, fire a gun
We need someone to lean on
Blow a kiss, fire a gun
All we need is somebody to lean on"
Low,Flo Rida featuring T-Pain,"[T-Pain:]
Mmmmmmmm
Let me talk to 'em
Let me talk to 'em
Let it rain
Mmmmmmm
Let me talk to 'em
C'mon!

[T-Pain:]
Shawty had them apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

[Flo-Rida:]
I ain't never seen nothing that'll make me go
This crazy all night spending my dough
Had a million dollar vibe and a bottle to go
Them birthday cakes they stole the show
So sexual
She was flexible professional
Drinking X&O
Hold up, wait a minute, do I see what I think? Whoa
Did I think I see shawty get low?
Ain't the same when it's up that close
Make it rain I'm making it snow
Work the pole I got the bank roll
I'mma say that I prefer them no clothes
I'm into that I love women exposed
She threw it back at me I gave her more
Cash ain't no problem I know where it goes
She had them

[T-Pain:]
Apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

[Flo-Rida:]
Hey shawty what I gotta do to get you home
My jeans full of guap and they're ready for shones
Cadillacs Maybachs for the sexy grown
Patron on the rocks that'll make you moan
One stack (come on), two stacks (come on), three stacks (come on)
Now that's three grand
What you think I'm playing, baby girl, I'm the man
I'll bend the rubber bands
That's what I told her
Her legs on my shoulder
I knew it was over
That Henny and Cola got me like a soldier
She ready for Rover, I couldn't control her
So lucky on me I was just like a clover
Shawty was hot like a toaster
Sorry but I had to fold her
Like a pornography poster
She showed her

[T-Pain:]
Apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

[Flo-Rida:]
Whoa, shawty, yeah, she was worth the money
Little mama took my cash
And I ain't want it back
The way she bent that back
Got her them paper stacks
Tattoo above her crack
I had to handle that
I was on it, sexy woman
Let me showing and made me want it
Two in the morning I'm zoning
And them Rosé bottles foaming
She wouldn't stop
Made it drop
Shawty did that pop and lock
Had to break her off that guap
Gal was fly just like my Glock

[T-Pain:]
Apple bottom jeans (jeans)
Boots with the fur (with the fur)
The whole club was looking at her
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low
Them baggy sweat pants
And the Reebok's with the straps (with the straps)
She turned around and gave that big booty a smack (hey)
She hit the floor (she hit the floor)
Next thing you know
Shawty got low, low, low, low, low, low, low, low

C'mon"
Sad!,XXXTentacion,"Yeah

Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah, I'm sad, I know, yeah

I gave her everything
She took my heart and left me lonely
I think broken heart's contagious
I won't fix, I'd rather weep
I'm lost then I'm found
But it's torture being in love
I love when you're around
But I fucking hate when you leave

Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah
I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah
I'm sad, I know, yeah

Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah
I'm sad, I know, yeah
Who am I? Someone that's afraid to let go, uh
You decide if you're ever gonna let me know (yeah)
Suicide if you ever try to let go, uh
I'm sad, I know, yeah
I'm sad, I know, yeah"
Sicko Mode,Travis Scott,"[Part I]

[Drake:]
Astro, yeah
Sun is down, freezin' cold
That's how we already know winter's here
My dawg would probably do it for a Louis belt
That's just all he know, he don't know nothin' else
I tried to show 'em, yeah
I tried to show 'em, yeah, yeah
Yeah, yeah, yeah
Goin' on you with the pick and roll
Young La Flame, he in sicko mode

[Part II]

[Travis Scott (The Notorious B.I.G.):]
Woo, made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hoppin' out coupes
This shit way too big when we pull up give me the loot
(Gimme the loot!)
Was off the Remy, had a Papoose
Had to hit my old town to duck the news
Two four hour lockdown, we made no moves
Now it's 4 AM and I'm back up poppin' with the crew
I just landed in, Chase B mixes pop like Jamba Juice
Different colored chains, think my jeweler really sellin' fruits
And they chokin', man, know the crackers wish it was a noose

[Big Hawk (Swae Lee):]
Some—some—some, someone said
To win the retreat, we all in too deep
Play-play-playin' for keeps, don't play us for weak (someone said)
To win the retreat, we all in too deep
Play-play-playin' for keeps, don't play us for weak

[Travis Scott (Uncle Luke):]
Yeah, this shit way too formal, y'all know I don’t follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my esés, I need the bootch
'Bout to turn this function to Bonnaroo
Told her, ""Hop in, you comin' too""
In the 305, bitches treat me like I'm Uncle Luke
(Don't stop, pop that pussy!)
Had to slop the top off, it's just a roof, uh
She said, ""Where we goin'?"" I said, ""The moon""
We ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together? I'm the glue (someone said)


[Travis Scott (Uncle Luke):]
[Travis Scott (Swae Lee) {Big Hawk}:]
(Someone said)
Shorty FaceTimed me out the blue
(Someone said)
{Play-Playin' for keeps}
(Someone said, motherfucker - someone said)
{Don't play us for weak}

[Part III]

[Travis Scott (Drake) {Lil Juice}:]
Yeah!
(Astro, yeah, yeah)
{Tay Keith, fuck these niggas up}
(Ayy, ayy)

[Drake (Travis Scott):]
She's in love with who I am
Back in high school, I used to bus it to the dance (yeah)
Now I hit the FBO with duffels in my hands
I did half a Xan, thirteen hours 'til I land
Had me out like a light, ayy, yeah
Like a light, ayy, yeah

[Drake (Travis Scott):]
Like a light, ayy
Slept through the flight, ayy
Knocked for the night, ayy, 767, man
This shit got double bedroom, man
I still got scores to settle, man
I crept down the block (down the block)
Made a right (yeah, right)
Cut the lights, (yeah, what) paid the price (yeah)
Niggas think it's sweet, (nah, never) it's on sight (yeah, what?)
Nothin' nice, (yeah) baguettes in my ice (aww, man)
Jesus Christ, (yeah) checks over stripes (yeah)
That's what I like, (yeah) that's what we like (yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (bitch!)
See the shots that I took, (ayy) wet like I'm Book (ayy)
Wet like I'm Lizzie
I be spinnin' Valley, circle blocks 'til I'm dizzy (yeah, what?)
Like where is he? (yeah, what?)
No one seen him (yeah, yeah)
I'm tryna clean 'em (yeah)

She's in love with who I am
Back in high school, I used to bus it to the dance
Now I hit the FBO with duffels in my hands (woo!)
I did half a Xan, thirteen hours 'til I land
Had me out like a light (like a light)
Like a light (like a light)
Like a light (like a light)
Like a light

[Travis Scott:]
Yeah, passed the dawgs a celly
Sendin' texts, ain't sendin' kites, yeah
He said, ""Keep that on lock""
I say, ""You know this shit, it's stife"", yeah
It's absolute, yeah (yeah) I'm back, reboot (it's lit!)
LaFerrari to Jamba Juice, yeah (skrrt, skrrt)
We back on the road, they jumpin' off, no parachute, yeah
Shorty in the back
She said she workin' on her glutes, yeah (oh my God)
Ain't by the book, yeah, this how it look, yeah
'Bout a check, yeah, (check) just check the foots, yeah
Pass this to my daughter, I'ma show her what it took (yeah)
Baby mama cover Forbes, got these other bitches shook
Yeah"
Tennessee Whiskey,Chris Stapleton,"Used to spend my nights out in a barroom
Liquor was the only love I'd known
But you rescued me from reaching for the bottom
And brought me back from being too far gone

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

I've looked for love in all the same old places
Found the bottom of the bottle's always dry
But when you poured out your heart I didn't waste it
'Cause there's nothing like your love to get me high

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

[Instrumental]

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

You're as smooth as Tennessee whiskey
Tennessee whiskey
Tennessee whiskey

You're as smooth as Tennessee whiskey
Tennessee whiskey
Tennessee whiskey"
Lucid Dreams,Juice WRLD,"Enviyon on the mix
No, no, no, no
No-no, no, no, no
No, no, no, no, no
No, no, no, no

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you so I must replace you (oh)
Easier said than done
I thought you were the one
Listening to my heart instead of my head
You found another one, but
I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you so I must replace you (oh)
Easier said than done
I thought you were the one
Listening to my heart instead of my head
You found another one, but
I am the better one
I won't let you forget me

You left me falling and landing inside my grave
I know that you want me dead 
I take prescriptions to make me feel a-okay
I know it's all in my head

I have these lucid dreams where I can't move a thing
Thinking of you in my bed
You were my everything
Thoughts of a wedding ring
Now I'm just better off dead 
I'll do it over again
I didn't want it to end
I watch it blow in the wind
I should've listened to my friends
Leave this shit in the past
But I want it to last
You were made outta plastic (fake)
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face
You gave me a heart that was full of mistakes
I gave you my heart and you made heart break

You made my heart break
You made my heart ache 
(I still see your shadows in my room)
You made my heart break
You made my heart ache 
(Can't take back the love that I gave you)
You made my heart break 
(Were made outta plastic fake)
You made my heart ache 
(I still see your shadows in my room)
You made my heart break again 
(I was tangled up your drastic ways)
(Who knew evil girls had the prettiest face?)

I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you so I must replace you (oh)
Easier said than done
I thought you were the one
Listening to my heart instead of my head
You found another one, but
I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you so I must replace you (oh)
Easier said than done
I thought you were the one
Listening to my heart instead of my head
You found another one, but
I am the better one
I won't let you forget me

Leave this shit in the past but I want it to last
You were made outta plastic (fake)
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?

Easier said than done
I thought you were the one
(Instead of my head)
I won't let you forget me"
Superbass,Nicki Minaj,"This one is for the boys with the booming system
Top down, AC with the cooling system
When he come up in the club, he be blazin' up
Got stacks on deck like he savin' up

And he ill, he real, he might got a deal
He pop bottles and he got the right kind of build
He cold, he dope, he might sell coke
He always in the air, but he never fly coach

He a motherfucking trip, trip, sailor of the ship, ship
When he make it drip, drip kiss him on the lip, lip
That's the kind of dude I was lookin' for
And yes you'll get slapped if you're lookin' hoe

I said, excuse me, you're a hell of a guy
I mean my, my, my, my you're like pelican fly
I mean, you're so shy and I'm loving your tie
You're like slicker than the guy with the thing on his eye, oh

Yes I did, yes I did, somebody please tell him who the F I is
I am Nicki Minaj, I mack them dudes up, back coupes up, and chuck the deuce up

[Ester Dean & Nicki Minaj:]
Boy, you got my heartbeat runnin' away
Beating like a drum and it's coming your way
Can't you hear that boom, badoom, boom, boom, badoom, boom, bass?
You got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's the super bass

Boom [8x]
(You got that super bass)
Boom [8x]
(You got that super bass)

Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass

This one is for the boys in the polos
Entrepreneur niggas and the moguls
He could ball with the crew, he could solo
But I think I like him better when he dolo
And I think I like him better with the fitted cap on
He ain't even gotta try to put the mack on
He just gotta give me that look, when he give me that look
Then the panties comin' off, off, uh

Excuse me, you're a hell of a guy you know I really got a thing for American guys
I mean, sigh, sickenin' eyes I can tell that you're in touch with your feminine side, oh

Yes I did, yes I did, somebody please tell him who the F I is
I am Nicki Minaj, I mack them dudes up, back coupes up, and chuck the deuce up

[Ester Dean & Nicki Minaj:]
Boy, you got my heartbeat runnin' away
Beating like a drum and it's coming your way
Can't you hear that boom, badoom, boom, boom, badoom, boom, bass?
You got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's the super bass

Boom [8x]
(You got that super bass)
Boom [8x]
(You got that super bass)

Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass

See I need you in my life for me to stay
know, know, know, know, know, I know you'll stay
No, no, no, no, no, don't go away (ay-ay)

Boy, you got my heartbeat runnin' away
Don't you hear that heartbeat comin' your way?
Oh, it be like, boom, badoom, boom, boom, badoom, boom, bass
Can't you hear that boom, badoom, boom, boom, badoom, boom, bass?

[Ester Dean & Nicki Minaj:]
Boy, you got my heartbeat runnin' away
Beating like a drum and it's coming your way
Can't you hear that boom, badoom, boom, boom, badoom, boom, bass?
You got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
Yeah, that's the super bass

Boom [8x]
(You got that super bass)
Boom [8x]
(You got that super bass)

Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass
Boom, badoom, boom, boom, badoom, boom, bass
He got that super bass"
Just Dance,Lady Gaga featuring Colby O'Donis,"[Lady Gaga & Akon:]
(Truth!)
RedOne
Konvict
Gaga (Oh-oh, eh)

I've had a little bit too much, much (Oh, oh, oh-oh)
All of the people start to rush (Start to rush by)
A dizzy twister dance, can't find my drink or man
Where are my keys? I lost my phone, phone (Oh, oh, oh-oh)

[Lady Gaga:]
What's goin' on, on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool, what's the name of this club?
I can't remember, but it's alright, a-alright

Just dance
Gonna be okay, da-da-doo-doot-n
Just dance
Spin that record, babe, da-da-doo-doot-n
Just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just, j-j-just dance

[Lady Gaga & Akon:]
Wish I could shut my playboy mouth (Oh, oh, oh-oh)
How'd I turn my shirt inside out? (Inside out, right)
Control your poison, babe, roses have thorns, they say
And we're all gettin' hosed tonight (Oh, oh, oh-oh)

[Lady Gaga:]
What's goin' on, on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool, what's the name of this club?
I can't remember, but it's alright, a-alright

Just dance
Gonna be okay, da-da-doo-doot-n
Just dance
Spin that record, babe, da-da-doo-doot-n
Just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just, j-j-just

[Colby O'Donis:]
When I come through on the dance floor, checking out that catalogue (Hey)
Can't believe my eyes, so many women without a flaw
And I ain't gon' give it up, steady, tryna pick it up like a call
I'mma hit it, I'mma beat it up, latch onto it until tomorrow, yeah
Shorty, I can see that you got so much energy
The way you twirlin' up them hips 'round and 'round
And there is no reason at all why you can't leave here with me
In the meantime, stay, let me watch you break it down and

[Lady Gaga & Akon:]
Dance
Gonna be okay, da-da-doo-doot-n (Oh)
Just dance (Ooh yeah)
Spin that record, babe, da-da-doo-doot-n
Just dance (Ooh yeah)
Gonna be okay, da-da-doo-doot-n (Ooh yeah)
Just dance (Ooh yeah)
Spin that record, babe, da-da-doo-doot-n
Just dance (Oh)
Gonna be okay, da-da-da-dance (Gonna be okay)
Dance, dance (Yeah)
Just, j-j-just dance (Oh)

[Akon:]
Incredible
Amazing
Music
Woo!
Let's go!

[Lady Gaga & Akon:]
Half psychotic, sick, hypnotic, got my blueprint, it's symphonic
Half psychotic, sick, hypnotic, got my blueprint, electronic
Half psychotic, sick, hypnotic, got my blueprint, it's symphonic
Half psychotic, sick, hypnotic, got my blueprint, electronic
Go, use your muscle, carve it out, work it, hustle
(I got it, just stay close enough to get it on)
Don't slow, drive it, clean it, Lysol, bleed it
Spend the last dough (I got it) in your pock-o (I got it)

[Lady Gaga:]
Just dance
Gonna be okay, da-da-doo-doot-n
Just dance
Spin that record, babe, da-da-doo-doot-n
Just dance (Baby)
Gonna be okay, da-da-doo-doot-n
Just dance
Spin that record, babe, da-da-doo-doot-n (Oh, baby, yeah)
Just dance
Gonna be okay (Spin that record, baby, yeah)
Da-da-da-dance, dance, dance
Just, j-j-just dance"
Need You Now,Lady Antebellum,"Picture perfect memories scattered all around the floor
Reaching for the phone 'cause I can't fight it anymore

And I wonder if I ever cross your mind?
For me it happens all the time

It's a quarter after one, I'm all alone and I need you now
Said I wouldn't call but I've lost all control and I need you now
And I don't know how I can do without
I just need you now

Another shot of whiskey, can't stop looking at the door
Wishing you'd come sweeping in the way you did before

And I wonder if I ever cross your mind?
For me it happens all the time

It's a quarter after one, I'm a little drunk and I need you now
Said I wouldn't call but I've lost all control and I need you now
And I don't know how I can do without
I just need you now

Oh, whoa
Guess I'd rather hurt than feel nothing at all

It's a quarter after one, I'm all alone and I need you now
And I said I wouldn't call but I'm a little drunk and I need you now
And I don't know how I can do without
I just need you now
I just need you now
Oh, baby, I need you now"
We Found Love,Rihanna featuring Calvin Harris,"Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine
What it takes to come alive

It's the way I'm feeling I just can't deny
But I've gotta let it go

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

Shine a light through an open door
Love and life I will divide
Turn away 'cause I need you more
Feel the heartbeat in my mind

It's the way I'm feeling I just can't deny
But I've gotta let it go

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine (mine, mine, mine)

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place"
Timber,Pitbull featuring Kesha,"[Ke$ha]
It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget

Wooooah (timber), wooooah (timber), wooooah (it's going down)
Wooooah (timber), wooooah (timber), wooooah (it's going down)

[Pitbull]
The bigger they are, the harder they fall
These big-iddy boys are dig-gidy dogs
I have 'em like Miley Cyrus, clothes off
Twerking in their bras and thongs, timber
Face down, booty up, timber
That's the way we like to–what?–timber
I'm slicker than an oil spill
She say she won't, but I bet she will, timber

Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down
Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down

[Ke$ha]
It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget

It's going down (it's going down), I'm yelling timber
You better move (you better move), you better dance (you better dance)
Let's make a night you won't remember
I'll be the one you won't forget (you won't forget)

Wooooah (timber), wooooah (timber), wooooah (it's going down)
Wooooah (timber), wooooah (timber), wooooah (it's going down)

[Pitbull]
Look up in the sky, it's a bird, it's a plane
Nah, it's just me, ain't a damn thing changed
Live in hotels, swing on planes
Blessed to say, money ain't a thing
Club jumping like LeBron now, Volí
Order me another round, homie
We about to clown. Why? 'Cause it's about to go down

Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down
Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down

[Ke$ha]
It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget

It's going down (it's going down), I'm yelling timber
You better move, you better dance (you better dance)
Let's make a night (let's make a night) you won't remember
I'll be the one (I'll be the one) you won't forget (you won't forget)

Wooooah (timber), wooooah (timber), (hey), wooooah (it's going down) (Pitbull)
Wooooah (timber), wooooah (timber), wooooah (it's going down)

Wooooah (timber), wooooah (c'mon), wooooah (it's going down)
Wooooah (timber), wooooah (you won't forget), wooooah (timber)"
Locked Out of Heaven,Bruno Mars,"One, two, one, two, three

Oh, yeah, yeah,
Oh, yeah, yeah, yeah, yeah,
Ooh!
Oh, yeah, yeah,
Oh, yeah, yeah, yeah, yeah,
Ooh!

Never had much faith in love or miracles
Ooh!
Never wanna put my heart on the line
Ooh!
But swimming in your water is something spiritual
Ooh!
I'm born again every time you spend the night
Ooh!

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah, yeah, yeah

'Cause you make me feel like I've been locked out of heaven
For too long, for too long
Yeah, you make me feel like I've been locked out of heaven
For too long, for too long

Oh, yeah, yeah, yeah, yeah,
Ooh!
Oh, yeah, yeah,
Oh, yeah, yeah, yeah, yeah,
Ooh!

You bring me to my knees, you make me testify
You can make a sinner change his ways
Open up your gates 'cause I can't wait to see the light
And right there is where I wanna stay

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah, yeah, yeah

'Cause you make me feel like I've been locked out of heaven
For too long, for too long
Yeah, you make me feel like I've been locked out of heaven
For too long, for too long

Oh, oh, oh, oh, yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?
Oh, oh, oh, oh, yeah, yeah, yeah
Can I just stay here?
Spend the rest of my days here?

'Cause you make me feel like I've been locked out of heaven
For too long, for too long
Yeah, you make me feel like I've been locked out of heaven
For too long, for too long

Oh, yeah, yeah, yeah, yeah,
Ooh!
Oh, yeah, yeah,
Oh, yeah, yeah, yeah, yeah,
Ooh!"
A Thousand Years,Christina Perri,"Heart beats fast
Colours and promises
How to be brave?
How can I love when I'm afraid to fall?
But watching you stand alone
All of my doubt
Suddenly goes away somehow

One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

Time stands still
Beauty in all she is
I will be brave
I will not let anything take away
What's standing in front of me
Every breath
Every hour has come to this

One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more

One step closer
One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more"
Don't Let Me Down,The Chainsmokers featuring Daya,"Crashing, hit a wall
Right now I need a miracle
Hurry up now, I need a miracle
Stranded, reaching out
I call your name but you're not around
I say your name but you're not around

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here, when I need you the most
So don't let me, don't let me, don't let me down
D-don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, don't let me down, down, down

Running out of time
I really thought you were on my side
But now there's nobody by my side

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here, when I need you the most
So don't let me, don't let me, don't let me down
D-don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, don't let me down, down, down

Oh, I think I'm losing my mind now, yeah
Oh, I think I'm losing my mind now, yeah

I need you, I need you, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losing my mind now
It's in my head, darling, I hope
That you'll be here, when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down

Yeah, don't let me down
Yeah, don't let me down
Don't let me down, oh, no
Said don't let me down
Don't let me down
Don't let me down, down, down

Don't let me down, down, down"
Body Like a Back Road,Sam Hunt,"Got a girl from the Southside, got braids in her hair
First time I seen her walk by, man I 'bout fell up out my chair
Had to get her number, it took me like six weeks
Now me and her go way back like Cadillac seats

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' fifteen in a thirty, I ain't in no hurry
I'ma take it slow just as fast as I can

The way she fit in them blue jeans, she don't need no belt
But I can turn 'em inside out, I don't need no help
Got a hips like honey, so thick and so sweet
It ain't no curves like hers on them downtown streets

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' fifteen in a thirty, I ain't in no hurry
I'ma take it slow just as fast as I can

We're out here in the boondocks with the breeze and the birds
Tangled up in the tall grass with my lips on hers
On a highway to heaven, headed south of her smile
Get there when we get there, every inch is a mile

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' fifteen in a thirty, I ain't in no hurry
I'ma take it slow just as fast as I can

I'ma take it slow
Just as fast as I can
(Body like a back road)
(Drivin' with my eyes closed)
Got braids in her hair
(I know every curve like the back of my hand)"
Love Yourself,Justin Bieber,"For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh, girl for goodness' sake
You think I'm cryin' on my own. Well, I ain't

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care. I don't
But you still hit my phone up
And, baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job
Didn't see what's going on
But now I know
I'm better sleeping on my own

'Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care. I don't
But you still hit my phone up
And, baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job
Didn't see what's going on
But now I know
I'm better sleeping on my own

'Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

For all the times that you made me feel small
I fell in love. Now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

'Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

'Cause if you like the way you look that much
Oh, baby, you should go and love yourself
And if you think (you think) that I'm (that I'm) still holdin' on (holdin' on) to somethin'
You should go and love yourself"
